Change Physical Footprint: Designator=C2 Old Footprint=CE2050 New Footprint=CE2050
Change Physical Footprint: Designator=C4 Old Footprint=C0805BSM New Footprint=C0805BSM
Change Physical Footprint: Designator=C11 Old Footprint=C508*5 New Footprint=C508*5
Change Physical Footprint: Designator=C23 Old Footprint=C0805BSM New Footprint=C0805BSM
Change Physical Footprint: Designator=C24 Old Footprint=C0805BSM New Footprint=C0805BSM
Change Physical Footprint: Designator=C25 Old Footprint=C0805BSM New Footprint=C0805BSM
Change Physical Footprint: Designator=C26 Old Footprint=C0805BSM New Footprint=C0805BSM
Change Physical Footprint: Designator=C27 Old Footprint=C0805BSM New Footprint=C0805BSM
Change Physical Footprint: Designator=D1 Old Footprint=D41P2H-1 New Footprint=D41P2H-1
Change Physical Footprint: Designator=D7 Old Footprint=TRNPNBSM New Footprint=TRNPNBSM
Change Physical Footprint: Designator=D9 Old Footprint=TRNPNBSM New Footprint=TRNPNBSM
Change Physical Footprint: Designator=Q2 Old Footprint=2N4401 New Footprint=2N4401
Change Physical Footprint: Designator=Q3 Old Footprint=2N4403 New Footprint=2N4403
Change Physical Footprint: Designator=R1 Old Footprint=R100060 New Footprint=R100060
Change Physical Footprint: Designator=R2 Old Footprint=R100060 New Footprint=R100060
Change Physical Footprint: Designator=R3 Old Footprint=R100060 New Footprint=R100060
Change Physical Footprint: Designator=R8 Old Footprint=R0805BSM New Footprint=R0805BSM
Change Physical Footprint: Designator=R10 Old Footprint=R0805BSM New Footprint=R0805BSM
Change Physical Footprint: Designator=R14 Old Footprint=R0805BSM New Footprint=R0805BSM
Change Physical Footprint: Designator=R20 Old Footprint=R0805BSM New Footprint=R0805BSM
Change Physical Footprint: Designator=T2 Old Footprint=EEL-16X New Footprint=EEL-16X
Change Physical Footprint: Designator=TP1 Old Footprint=TEST New Footprint=TEST
Change Physical Footprint: Designator=TP6 Old Footprint=TEST New Footprint=TEST
Change Physical Footprint: Designator=TP7 Old Footprint=TEST New Footprint=TEST
Change Physical Footprint: Designator=TP8 Old Footprint=TEST New Footprint=TEST
Change Physical Footprint: Designator=TP11 Old Footprint=TEST New Footprint=TEST
Change Physical Footprint: Designator=TP13 Old Footprint=TEST New Footprint=TEST
Change Physical Footprint: Designator=U1 Old Footprint=2844 New Footprint=2844
Change Physical Footprint: Designator=VD1 Old Footprint=D41P2H-1 New Footprint=D41P2H-1
