Altium Designer Pick and Place Locations
E:\AD20 Program\高压开关电源\High-voltage power\Project Outputs for High-voltage power\Pick Place for High-voltage.txt

========================================================================================================================
File Design Information:

Date:       24/09/24
Time:       16:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator   Comment           Layer       Footprint    Center-X(mm) Center-Y(mm) Rotation 
C54          104/0805          BottomLayer C0805BSM     199.3900     62.4020      270      
Q7           NC                BottomLayer TRNPNBSM     179.8320     48.3650      270      
LED1         "发光二极管Φ5 发绿光"     TopLayer    LED25C       190.3730     38.2270      360      
R16          75/1206           BottomLayer R1206NSM     145.5420     78.2320      270      
Q3           2N4403            TopLayer    2N4403       161.1630     59.2220      360      
Designator13 Comment           TopLayer    HS15*10.5    0.0000       0.0000       0        
Designator12 Comment           TopLayer    HS18*40      133.3598     37.8682      180      
Designator11 Comment           TopLayer    HS18*40      133.3598     119.1001     360      
Designator2  Comment           TopLayer    HS15*10.5    0.0000       0.0000       360      
U7           MC7805BDTG        BottomLayer 7805SM       247.7770     22.9085      270      
U6           AZ431LANTR-E1     BottomLayer AZ431LS23TSM 182.6260     34.5045      180      
U5           AZ431LANTR-E1     BottomLayer AZ431LS23TSM 177.2920     31.4960      180      
U4           AZ431LANTR-E1     BottomLayer AZ431LS23TSM 200.2090     52.5676      360      
U3           NC                BottomLayer AZ431LS23TSM 164.7190     41.6560      180      
U2           TLP521            TopLayer    PH521        192.4640     49.9110      90       
U1           UC2844BN          TopLayer    2844         173.8630     59.8170      90       
TP22         GND               TopLayer    TEST         59.0062      38.9682      0        
TP20         GND+15V           TopLayer    TEST         215.6460     32.1310      0        
TP19         VDC               TopLayer    TEST         59.1820      131.8260     0        
TP18         GND+15V           TopLayer    TEST         194.9450     43.6880      180      
TP17         PWR_NG            TopLayer    TEST         215.6460     36.9570      0        
TP16         Vfb               TopLayer    TEST         211.8430     53.6669      180      
TP15         VCC+15V           TopLayer    TEST         255.9050     77.3430      0        
TP13         GND               TopLayer    TEST         196.9770     67.5640      90       
TP12         GND+15V           TopLayer    TEST         255.5240     91.4400      0        
TP11         CS                TopLayer    TEST         183.7690     58.1660      90       
TP10         MOS_DOWN_D        TopLayer    TEST         153.8880     69.1084      90       
TP8          OSC               TopLayer    TEST         177.6598     67.4961      90       
TP7          PWM_OUT           TopLayer    TEST         165.4810     55.4990      90       
TP3          MOS_UP_S          TopLayer    TEST         136.7790     101.8540     0        
TP1          VCC+18V           TopLayer    TEST         164.5219     46.0267      0        
T2           EEL-16X           TopLayer    EEL-16X      143.5910     91.2990      180      
T1           ER42              TopLayer    ER42         178.5620     104.1400     0        
SR12         30/10W            TopLayer    SRSQM130100  32.8260      63.6270      360      
SR11         30/10W            TopLayer    SRSQM130100  32.8260      51.4671      360      
SR10         30/10W            TopLayer    SRSQM130100  32.7060      39.1160      360      
SR9          30/10W            TopLayer    SRSQM130100  32.8260      129.9592     360      
SR8          30/10W            TopLayer    SRSQM130100  32.8260      117.5018     360      
SR7          30/10W            TopLayer    SRSQM130100  32.8260      105.0444     360      
SR6          500/10W           TopLayer    SRSQM1411    144.7800     60.9200      90       
SR5          500/10W           TopLayer    SRSQM1411    131.6355     60.9200      90       
SR4          500/10W           TopLayer    SRSQM1411    118.4910     60.9200      90       
SR3          500/10W           TopLayer    SRSQM1411    144.7800     137.3740     90       
SR2          500/10W           TopLayer    SRSQM1411    131.6355     137.3740     90       
SR1          500/10W           TopLayer    SRSQM1411    118.4910     137.3740     90       
SC6          ""                TopLayer    SC40         130.0000     165.0000     0        
SC5          ""                TopLayer    SC40         270.0000     5.0000       0        
SC4          ""                TopLayer    SC40         130.0000     5.0000       0        
SC3          ""                TopLayer    SC40         5.0000       165.0000     0        
SC2          ""                TopLayer    SC40         5.0000       5.0000       0        
SC1          ""                TopLayer    SC40         270.0000     165.0000     0        
R55          140K/3W           TopLayer    R100060      68.6698      44.6466      270      
R54          3.3K/0805         BottomLayer R0805BSM     238.8870     25.2730      270      
R53          3.3K/0805         BottomLayer R0805BSM     265.8110     25.7810      270      
R52          140K/3W           TopLayer    R100060      115.4010     78.9470      90       
R51          140K/3W           TopLayer    R100060      67.5640      126.4450     90       
R50          2.49K/0805        BottomLayer R0805BSM     170.8150     36.1950      90       
R49          2K/0805           BottomLayer R0805BSM     174.0535     26.9240      270      
R48          5.6K/0805         BottomLayer R0805BSM     199.2630     32.6340      90       
R47          2K/0805           BottomLayer R0805BSM     177.2920     26.9240      90       
R46          2K/0805           BottomLayer R0805BSM     186.5630     31.9220      270      
R45          2K/0805           BottomLayer R0805BSM     183.7690     26.9240      90       
R44          10K/0805          BottomLayer R0805BSM     161.1630     40.1770      270      
R43          8.25K/0805        BottomLayer R0805BSM     177.2920     36.1950      270      
R42          5.6K/0805         BottomLayer R0805BSM     202.1840     62.4020      90       
R41          1K/0805           BottomLayer R0805BSM     203.3270     49.8290      270      
R40          9.1K/0805         BottomLayer R0805BSM     180.5305     26.9240      90       
R39          3K/0805           BottomLayer R0805BSM     199.1360     38.1450      270      
R38          3K/0805           BottomLayer R0805BSM     208.9150     38.1450      270      
R37          NC                BottomLayer R0805BSM     177.4190     42.8440      90       
R36          10K/0805          BottomLayer R0805BSM     206.1210     49.8660      90       
R35          5.6K/0805         BottomLayer R0805BSM     196.5960     62.4020      270      
R34          400K/1W           TopLayer    R075005      129.2080     95.1230      270      
R33          5.6K/0805         BottomLayer R0805BSM     188.2140     62.4020      270      
R32          NC                BottomLayer R0805BSM     168.8426     43.4210      270      
R31          4.99K/0805        BottomLayer R0805BSM     209.1267     49.8660      270      
R30          2M/1W             TopLayer    R075005      122.3890     95.3770      270      
R29          3.3K/0805         BottomLayer R0805BSM     209.1690     54.9910      90       
R28          2M/1W             TopLayer    R075005      115.0620     95.3770      270      
R27          5.6K/0805         BottomLayer R0805BSM     185.4958     62.4185      90       
R26          3.3K/0805         BottomLayer R0805BSM     202.4380     44.6590      270      
R25          33/3W             TopLayer    R100060      228.2190     49.7370      270      
R24          1K/3W             TopLayer    R100060      264.0330     49.9910      270      
R23          75/1206           BottomLayer R1206NSM     179.1970     72.0370      90       
R22          0.33/3W           TopLayer    R075005      138.6319     23.4552      180      
R21          249/1206          BottomLayer R1206NSM     176.1490     72.0370      90       
R20          330/0805          BottomLayer R0805BSM     180.0860     57.2770      270      
R19          1K/3W             TopLayer    R100060      246.7610     87.5805      270      
R18          49.9/1206         BottomLayer R1206NSM     172.8470     72.0370      90       
